,ACTIONS,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,
ESTADOS,A,Ac1,Ac2,Ac3,Ac4,C1,C2,C3,C4,N1,N2,N3,N4,N5,Sh1,Sh2,Sh3,Sh4,Sh5,Sv1,Sv2,Sv3,Sv4,Sv5,$,S,SH1,SH2,SH3,SH4,SH5,SV1,SV2,SV3,SV4,SV5,n1,n2,n3,n4,n5,AC1,AC2,AC3,AC4,c1,c2,c3,c4
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,s3,s4,s5,s6,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,s12,s13,s14,,,,,8,,,,,9,10,11,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,s12,s13,,,,,,,15,,,,16,17,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,s12,s13,s14,,,,,,,18,,,19,20,21,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,s14,s26,s27,,,,,,22,,,,23,24,25,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,s14,,s27,,,,,,,28,,,29,,30,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,r( S -> A Sh1 SH1 ),,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,r( SH1 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,r( SH1 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,r( SH1 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,
