,ACTIONS,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,
ESTADOS,A,Ac1,Ac2,Ac3,Ac4,C1,C2,C3,C4,N1,N2,N3,N4,N5,Sh1,Sh2,Sh3,Sh4,Sh5,Sv1,Sv2,Sv3,Sv4,Sv5,$,S0,S,SH1,SH2,SH3,SH4,SH5,SV1,SV2,SV3,SV4,SV5,n1,n2,n3,n4,n5,AC1,AC2,AC3,AC4,c1,c2,c3,c4
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,s4,s5,s6,s7,s8,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
3,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,s14,s15,s16,,,,,,10,,,,,11,12,13,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,s14,s15,,,,,,,,17,,,,18,19,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,s14,s15,s16,,,,,,,,20,,,21,22,23,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,s16,s28,s29,,,,,,,24,,,,25,26,27,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,s16,,s29,,,,,,,,30,,,31,,32,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,r( S0 -> A S A ),,,,,,,,,,,,,,,,,,,,,,,,,
10,r( S -> Sh1 SH1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r( SH1 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,r( SH1 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,r( SH1 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,s36,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,,,33,34,35,,,,,,,,,,
15,,,,,,,,,,s36,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,41,,,,,,,,,,
16,,,,,,,,,,,,,s44,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,42,43,,,,,,,,
17,r( S -> Sh2 SH2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,r( SH2 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,r( SH2 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,r( S -> Sh3 SH3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,r( SH3 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,r( SH3 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,r( SH3 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,r( S -> Sh4 SH4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,r( SH4 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,r( SH4 -> SV4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,r( SH4 -> SV5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,s44,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47,,,,,,,,
29,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,
30,r( S -> Sh5 SH5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,r( SH5 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,r( SH5 -> SV5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
