,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
0,s32,s18,s16,s23,s31,s27,s33,s25,s19,s26,s20,EXTRAER,s28,EXTRAER,s30,s22,EXTRAER,s4,s17,s24,EXTRAER,1,2,3,21,5,6,7,8,9,10,29,11,12,13,14,15
1,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,acc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s27,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s28,s36,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( S -> Z1 ),-,-,-,-,-,34,35,-,-,-,-,-,-,-,-,-
3,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s27,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s28,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( S -> Z2 ),-,-,-,-,-,38,37,-,-,-,-,-,-,-,-,-
4,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s39,EXTRAER,EXTRAER,EXTRAER,r( S -> zwan ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s40,s41,EXTRAER,EXTRAER,EXTRAER,r( S -> ZS ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,s32,s18,s16,s23,s31,EXTRAER,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,r( S -> Z5 ),-,42,43,21,46,-,-,44,45,-,-,-,-,-,-,48
7,s32,s18,s16,s23,s31,s27,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,r( S -> Z6 ),-,49,50,21,46,55,-,51,52,53,-,54,-,-,-,48
8,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s28,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( S -> Z7 ),-,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-
9,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s29,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( S -> Z8 ),-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-
10,s32,s18,s16,s23,s31,EXTRAER,s33,s25,s19,s26,s20,EXTRAER,s30,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,r( S -> Z9 ),-,58,59,21,46,-,62,60,61,-,-,-,-,-,-,48
11,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s31,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( S -> Z11 ),-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-
12,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( S -> Z12 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,s32,s18,s16,s23,s31,s27,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,r( S -> Z13 ),-,64,65,21,46,55,-,66,67,68,-,69,-,-,-,48
