,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
0,s29,s19,s17,s23,s28,s31,s30,s25,s20,s26,s21,,s32,,s27,s22,,s4,s18,s24,,1,2,3,6,5,7,8,9,10,11,33,12,13,14,15,16
1,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
2,,,,,,s31,,,,,,,s32,s36,,,,,,,r( S -> Z1 ),,,,,,34,35,,,,,,,,,
3,,,,,,s31,,,,,,,s32,,,,,,,,r( S -> Z2 ),,,,,,38,37,,,,,,,,,
4,,,,,,,,,,,,,,,,,s39,,,,r( S -> zwan ),,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,s40,s41,,,,r( S -> ZS ),,,,,,,,,,,,,,,,
6,,,,,,s31,,,,,,,s32,s46,,s42,s43,,,,r( S -> Z34 ),,,,,,44,45,,,,,,,,,
7,s29,s19,s17,s23,s28,,s30,s25,s20,s26,s21,,,,s27,s22,,s53,s18,s24,r( S -> Z5 ),,47,48,51,52,,,49,50,,,,,,,54
8,s29,s19,s17,s23,s28,s31,s30,s25,s20,s26,s21,,,,s27,s22,,s53,s18,s24,r( S -> Z6 ),,55,56,61,52,62,,57,58,59,,60,,,,54
9,,,,,,,,,,,,,s32,,,,,,,,r( S -> Z7 ),,,,,,,63,,,,,,,,,
10,,,,,,,,,,,,,s32,,,,,,,,r( S -> Z8 ),,,,,,,64,,,,,,,,,
11,s29,s19,s17,s23,s28,,s30,s25,s20,s26,s21,,s32,,s27,s22,,s53,s18,s24,r( S -> Z9 ),,65,66,69,52,,70,67,68,,,,,,,54
12,,,,,,,,,,,,,s32,,,,,,,,r( S -> Z11 ),,,,,,,71,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,r( S -> Z12 ),,,,,,,,,,,,,,,,
14,s29,s19,s17,s23,s28,s31,s30,s25,s20,s26,s21,,,,s27,s22,,s53,s18,s24,r( S -> Z13 ),,72,73,78,52,62,,74,75,76,,77,,,,54
15,,,,,,,,,,,,,,,,,,,,,r( S -> Z14 ),,,,,,,,,,,,,,,,
16,s29,s82,,,s28,,s30,s25,,s26,,,,,s27,,,s53,,,r( S -> U ),,,,80,81,,,79,,,,,,,,
17,,,,,,r( Z1 -> ein ),,,,,,,r( Z1 -> ein ),r( Z1 -> ein ),,,,,,,r( Z1 -> ein ),,,,,,,,,,,,,,,,
18,,,,,,r( Z1 -> zwei ),,,,,,,r( Z1 -> zwei ),r( Z1 -> zwei ),,,,,,,r( Z1 -> zwei ),,,,,,,,,,,,,,,,
19,,,,,,r( Z1 -> drei ),,,,,,s84,r( Z1 -> drei ),r( Z1 -> drei ),,s83,,,,,r( Z1 -> drei ),,,,,,,,,,,,,,,,
20,,,,,,r( Z1 -> sechs ),,,,,,,r( Z1 -> sechs ),r( Z1 -> sechs ),,,,,,,r( Z1 -> sechs ),,,,,,,,,,,,,,,,
21,,,,,,r( Z1 -> sieben ),,,,,,,r( Z1 -> sieben ),r( Z1 -> sieben ),,,,,,,r( Z1 -> sieben ),,,,,,,,,,,,,,,,
22,,,,,,r( Z2 -> zehn ),,,,,,,r( Z2 -> zehn ),,,,,,,,r( Z2 -> zehn ),,,,,,,,,,,,,,,,
